trace,source_trace,policy,l1d_coverage,l1d_accuracy,total_ipc,is_best_fixed_policy
436.cactusADM-1804B_combo,436.cactusADM-1804B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.080794004987,0.419984268054,1.595904176178,0
436.cactusADM-1804B_combo,436.cactusADM-1804B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.077232433594,0.408682882926,1.598197137917,1
437.leslie3d-134B_combo,437.leslie3d-134B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.081713694634,0.045509592936,1.947207509989,0
437.leslie3d-134B_combo,437.leslie3d-134B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.082642690233,0.045374032789,1.949383488101,0
437.leslie3d-134B_combo,437.leslie3d-134B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.081713694634,0.045509592936,1.947207509989,0
437.leslie3d-134B_combo,437.leslie3d-134B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.082642690233,0.045374032789,1.949383488101,1
437.leslie3d-134B_combo,437.leslie3d-134B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.177900011537,0.587341459397,1.941943086891,0
437.leslie3d-134B_combo,437.leslie3d-134B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.178933367712,0.586327340168,1.948003977824,0
437.leslie3d-134B_combo,437.leslie3d-134B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.177900011537,0.587341459397,1.941943086891,0
437.leslie3d-134B_combo,437.leslie3d-134B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.178933367712,0.586327340168,1.948003977824,0
444.namd-120B_combo,444.namd-120B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.036857498781,0.035565427582,2.944361732433,0
444.namd-120B_combo,444.namd-120B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.037009345794,0.024019340248,2.943644958810,0
