trace,policy,checkpoint_l1d_coverage,native_l1d_coverage,delta_l1d_coverage,abs_delta_l1d_coverage,checkpoint_l1d_accuracy,native_l1d_accuracy,delta_l1d_accuracy,abs_delta_l1d_accuracy,checkpoint_is_best_policy,native_is_best_policy
436.cactusADM-1804B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.006632875376,0.047946833778,0.041313958402,0.041313958402,0.003518568593,0.048509314213,0.044990745620,0.044990745620,1,0
436.cactusADM-1804B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.006637557496,0.047354811361,0.040717253865,0.040717253865,0.003516839900,0.048893859052,0.045377019152,0.045377019152,0,0
436.cactusADM-1804B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.045540897690,0.080794004987,0.035253107297,0.035253107297,0.326647383644,0.419984268054,0.093336884410,0.093336884410,0,0
436.cactusADM-1804B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.045597051738,0.077232433594,0.031635381856,0.031635381856,0.326524112852,0.408682882926,0.082158770074,0.082158770074,0,0
436.cactusADM-1804B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.045540897690,0.080794004987,0.035253107297,0.035253107297,0.326647383644,0.419984268054,0.093336884410,0.093336884410,0,0
436.cactusADM-1804B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.045597051738,0.077232433594,0.031635381856,0.031635381856,0.326524112852,0.408682882926,0.082158770074,0.082158770074,0,1
437.leslie3d-134B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.055397923672,0.081713694634,0.026315770962,0.026315770962,0.036996537024,0.045509592936,0.008513055912,0.008513055912,0,0
437.leslie3d-134B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.055401419969,0.082642690233,0.027241270264,0.027241270264,0.036996576213,0.045374032789,0.008377456576,0.008377456576,0,0
437.leslie3d-134B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.055397923672,0.081713694634,0.026315770962,0.026315770962,0.036996537024,0.045509592936,0.008513055912,0.008513055912,0,0
437.leslie3d-134B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.055401419969,0.082642690233,0.027241270264,0.027241270264,0.036996576213,0.045374032789,0.008377456576,0.008377456576,1,1
437.leslie3d-134B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.143125078195,0.177900011537,0.034774933342,0.034774933342,0.501068990695,0.587341459397,0.086272468702,0.086272468702,0,0
437.leslie3d-134B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.143164848190,0.178933367712,0.035768519522,0.035768519522,0.501078813818,0.586327340168,0.085248526350,0.085248526350,0,0
437.leslie3d-134B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.143125078195,0.177900011537,0.034774933342,0.034774933342,0.501068990695,0.587341459397,0.086272468702,0.086272468702,0,0
437.leslie3d-134B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.143164848190,0.178933367712,0.035768519522,0.035768519522,0.501078813818,0.586327340168,0.085248526350,0.085248526350,0,0
444.namd-120B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.043945950541,0.036857498781,-0.007088451760,0.007088451760,0.023614930803,0.035565427582,0.011950496779,0.011950496779,0,0
444.namd-120B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.043945950541,0.037009345794,-0.006936604747,0.006936604747,0.023614930803,0.024019340248,0.000404409445,0.000404409445,0,0
444.namd-120B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.043945950541,0.038313761567,-0.005632188974,0.005632188974,0.023614930803,0.046078000683,0.022463069880,0.022463069880,0,0
444.namd-120B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.043945950541,0.037476318809,-0.006469631732,0.006469631732,0.023614930803,0.031452244989,0.007837314186,0.007837314186,0,0
444.namd-120B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.139253179843,0.060257687927,-0.078995491916,0.078995491916,0.589817213748,0.483024251070,-0.106792962678,0.106792962678,0,0
444.namd-120B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.139253179843,0.060455420141,-0.078797759702,0.078797759702,0.589817213748,0.483884768967,-0.105932444781,0.105932444781,0,1
444.namd-120B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.139253179843,0.059589187647,-0.079663992196,0.079663992196,0.589817213748,0.480310434033,-0.109506779715,0.109506779715,0,0
444.namd-120B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.139253179843,0.060459643055,-0.078793536788,0.078793536788,0.589817213748,0.484290202799,-0.105527010949,0.105527010949,1,0
445.gobmk-17B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.002028857504,0.029095058119,0.027066200615,0.027066200615,0.005859435915,0.053730163956,0.047870728041,0.047870728041,0,0
445.gobmk-17B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.002032704271,0.029541603178,0.027508898907,0.027508898907,0.005860654161,0.053281109542,0.047420455381,0.047420455381,0,0
445.gobmk-17B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.002022417227,0.029095392639,0.027072975412,0.027072975412,0.005805855736,0.052616740991,0.046810885255,0.046810885255,0,0
445.gobmk-17B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.002069160814,0.029159397077,0.027090236263,0.027090236263,0.005858385304,0.052505536386,0.046647151082,0.046647151082,0,1
445.gobmk-17B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.020841502429,0.048338504937,0.027497002508,0.027497002508,0.344819446922,0.540977396136,0.196157949214,0.196157949214,0,0
445.gobmk-17B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.020841993696,0.048852492393,0.028010498697,0.028010498697,0.344819446922,0.548932384342,0.204112937420,0.204112937420,0,0
445.gobmk-17B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.020977098140,0.048074642208,0.027097544068,0.027097544068,0.346019395265,0.543967280164,0.197947884899,0.197947884899,0,0
